unit,cycle,rul,label,reconstruction_error,predicted_label,rul_range
88.0,87.0,125.0,0,0.046469305,0,120+
56.0,132.0,125.0,0,0.04922239,0,120+
17.0,142.0,125.0,0,0.04888078,0,120+
95.0,87.0,125.0,0,0.0560813,0,120+
2.0,143.0,125.0,0,0.05262952,0,120+
10.0,43.0,125.0,0,0.05781348,1,120+
72.0,59.0,125.0,0,0.04548017,0,120+
9.0,70.0,125.0,0,0.04753826,0,120+
10.0,83.0,125.0,0,0.053582095,0,120+
46.0,135.0,121.0,0,0.047351956,0,120+
85.0,43.0,125.0,0,0.04467638,0,120+
69.0,68.0,125.0,0,0.049071223,0,120+
61.0,56.0,125.0,0,0.058316737,1,120+
84.0,97.0,125.0,0,0.045728635,0,120+
94.0,30.0,125.0,0,0.043384895,0,120+
21.0,54.0,125.0,0,0.049447726,0,120+
85.0,54.0,125.0,0,0.046847366,0,120+
95.0,131.0,125.0,0,0.04960862,0,120+
2.0,119.0,125.0,0,0.04953384,0,120+
10.0,55.0,125.0,0,0.0573583,0,120+
32.0,43.0,125.0,0,0.04746916,0,120+
30.0,39.0,125.0,0,0.060518686,1,120+
16.0,50.0,125.0,0,0.04703434,0,120+
72.0,53.0,125.0,0,0.043254703,0,120+
82.0,54.0,125.0,0,0.0528769,0,120+
54.0,47.0,125.0,0,0.049565338,0,120+
6.0,52.0,125.0,0,0.04526163,0,120+
53.0,38.0,125.0,0,0.04529341,0,120+
35.0,30.0,125.0,0,0.045291524,0,120+
96.0,192.0,125.0,0,0.04902933,0,120+
86.0,67.0,125.0,0,0.04510409,0,120+
95.0,68.0,125.0,0,0.06042857,1,120+
69.0,231.0,125.0,0,0.046531487,0,120+
92.0,125.0,125.0,0,0.048244283,0,120+
4.0,58.0,125.0,0,0.0489189,0,120+
76.0,31.0,125.0,0,0.047412075,0,120+
78.0,50.0,125.0,0,0.05789439,1,120+
81.0,76.0,125.0,0,0.047418635,0,120+
15.0,35.0,125.0,0,0.05796903,1,120+
47.0,82.0,125.0,0,0.056376267,0,120+
10.0,81.0,125.0,0,0.05351199,0,120+
76.0,37.0,125.0,0,0.046243224,0,120+
20.0,56.0,125.0,0,0.045918047,0,120+
99.0,61.0,124.0,0,0.0480904,0,120+
69.0,52.0,125.0,0,0.049663637,0,120+
31.0,72.0,125.0,0,0.056619164,0,120+
59.0,104.0,125.0,0,0.05255916,0,120+
5.0,103.0,125.0,0,0.054095708,0,120+
54.0,78.0,125.0,0,0.04890208,0,120+
35.0,57.0,124.0,0,0.047270484,0,120+
92.0,59.0,125.0,0,0.04849027,0,120+
32.0,56.0,125.0,0,0.043964785,0,120+
76.0,53.0,125.0,0,0.0452175,0,120+
56.0,51.0,125.0,0,0.048395023,0,120+
